start_station_name,end_station_name,route_cnt
7 Ave & Central Park South,7 Ave & Central Park South,13
Central Park S & 6 Ave,Central Park S & 6 Ave,12
North Moore St & Greenwich St,Vesey St & Church St,10
Yankee Ferry Terminal,Yankee Ferry Terminal,10
West St & Chambers St,Pier 40 - Hudson River Park,9
Roosevelt Island Tramway,Motorgate,9
Vernon Blvd & 50 Ave,Franklin St & Dupont St,8
Franklin St & Dupont St,Vernon Blvd & 50 Ave,8
Amsterdam Ave & W 73 St,Amsterdam Ave & W 79 St,8
1 Ave & E 62 St,1 Ave & E 68 St,8
